,kls=results&ty=por&q=0.4&ds=5.0&daa=500&scale=1,kls=results&ty=por&q=0.4&ds=10.0&daa=500&scale=2,kls=results&ty=por&q=0.4&ds=20.0&daa=500&scale=4,kls=results&ty=trad&q=0.4&ds=5.0&daa=500&scale=1,kls=results&ty=por&q=0.44&ds=5.0&daa=500&scale=1,kls=results&ty=por&q=0.44&ds=10.0&daa=500&scale=2,kls=results&ty=por&q=0.44&ds=20.0&daa=500&scale=4,kls=results&ty=trad&q=0.44&ds=5.0&daa=500&scale=1,kls=analytical&ty=trad&q=0.4&ds=5.0&daa=0&scale=1,kls=analytical&ty=trad&q=0.44&ds=5.0&daa=0&scale=1
8.2,,,,,,,,,0.0681459148331841,0.2769161044025087
8.4,,,,,,,,,0.06485088273295792,0.27110017892229876
8.6,,,,,,,,,0.06172530942645771,0.2654362429613051
8.8,,,,,,,,,0.05875964917284815,0.25991877901865146
9.0,0.06444444444444444,,,0.05277777777777778,0.2131111111111111,,,0.25033333333333335,0.055944967986695016,0.2545425621529298
9.2,,,,,,,,,0.053272897313973666,0.24930263835832844
9.4,,,,,,,,,0.050735591944746083,0.2441943049978037
9.6,,,,,,,,,0.04832569169618617,0.23921309305639538
9.8,,,,,,,,,0.0460362864600542,0.23435475100954173
10.0,,0.04622222222222222,,,,0.211,,,0.04386088426017043,0.22961523012817686
10.2,,,,,,,,,0.04179338200940097,0.22499067106531045
10.4,,,,,,,,,0.039828038693375256,0.22047739158836455
10.6,,,,,,,,,0.03795945074060014,0.2160718753383143
10.8,,,,,,,,,0.03618252936664046,0.21177076151109553
11.0,0.04522222222222222,,,0.03122222222222222,0.173,,,0.20644444444444446,0.034492479704296475,0.20757083536917487
11.2,,,,,,,,,0.03288478155277219,0.20346901950192942
11.4,,,,,,,,,0.031355171597179154,0.19946236576280407
11.6,,,,,,,,,0.029899626965751658,0.1955480478193229
11.8,,,,,,,,,0.028514350006186073,0.19172335425909925
12.0,,0.03233333333333333,0.034,,,0.1731111111111111,0.17877777777777779,,0.027195754174843767,0.18798568220116796
12.2,,,,,,,,,0.0259404509434058,0.18433253136737338
12.4,,,,,,,,,0.02474523763714498,0.18076149857330504
12.6,,,,,,,,,0.023607086127441,0.17727027260245376
12.8,,,,,,,,,0.02252313230867542,0.1738566294309547
13.0,0.03288888888888889,,,0.019,0.14244444444444446,,,0.14888888888888888,0.021490666296301142,0.17051842777354576
13.2,,,,,,,,,0.020507123288820872,0.16725360492426156
13.4,,,,,,,,,0.01957007504169428,0.16406017286794838
13.6,,,,,,,,,0.01867722190592469,0.16093621464096775
13.8,,,,,,,,,0.01782638538830894,0.15787988092148886
14.0,,0.02011111111111111,,,,0.146,,,0.01701550119412909,0.15488938683158437
14.2,,,,,,,,,0.016242612716476423,0.1519630089349674
14.4,,,,,,,,,0.015505864939469038,0.1490990824156596
14.6,,,,,,,,,0.014803498725388664,0.14629599842418428
14.8,,,,,,,,,0.014133845458265348,0.14355220157904924
15.0,0.029111111111111112,,,0.010333333333333333,0.1218888888888889,,,0.12411111111111112,0.013495322018694855,0.14086618761233927
15.2,,,,,,,,,0.012886426066720524,0.13823650114918706
15.4,,,,,,,,,0.012305731611469084,0.1356617336117497
15.6,,,,,,,,,0.011751884847915006,0.13314052123909093
15.8,,,,,,,,,0.011223600242678877,0.130671543215076
16.0,,,0.014888888888888889,,,,0.1282222222222222,,0.010719656852165027,0.12825351989701494
16.2,,,,,,,,,0.010238894857614755,0.12588521113837325
16.4,,,,,,,,,0.009780212302814228,0.12356541469938997
16.6,,,,,,,,,0.00934256202125816,0.12129296473992235
16.8,,,,,,,,,0.008924948740544503,0.11906673038926896
17.0,0.019333333333333334,,,0.0074444444444444445,0.10044444444444445,,,0.10088888888888889,0.00852642635266343,0.11688561438812217
17.2,,,,,,,,,0.008146095339664372,0.1147485517981609
17.4,,,,,,,,,0.007783100344932348,0.11265450877512684
17.6,,,,,,,,,0.007436627880994973,0.11060248140152962
17.8,,,,,,,,,0.007105904165418453,0.1085914945754044
18.0,,0.011666666666666667,,,,0.10488888888888889,,,0.0067901930769309615,0.10662060095179915
18.2,,,,,,,,,0.006488794224454919,0.10468887993390386
18.4,,,,,,,,,0.006201041122222861,0.10279543671094793
18.6,,,,,,,,,0.005926299464613538,0.10093940134018797
18.8,,,,,,,,,0.005663965494767109,0.09911992787049517
19.0,0.01577777777777778,,,0.0036666666666666666,0.08322222222222223,,,0.08177777777777778,0.005413464461432871,0.09733619350521128
19.2,,,,,,,,,0.005174249158863664,0.09558739780210546
19.4,,,,,,,,,0.004945798544910063,0.09387276190840033
19.6,,,,,,,,,0.0047276164327795245,0.09219152782897089
19.8,,,,,,,,,0.004519230252214013,0.09054295772594179
20.0,,,0.008222222222222223,,,,0.09377777777777778,,0.00432018987611027,0.08892633324802035
21.0,0.014,,,0.002,0.07033333333333333,,,0.07,0.00345085633961828,0.08129853824284028
22.0,,0.006333333333333333,,,,0.07433333333333333,,,0.0027587628763555694,0.07437178298441338
23.0,,,,0.0006666666666666666,,,,0.05266666666666667,0.002207172587041506,0.06807478201789274
24.0,,,0.0028888888888888888,,,,0.06822222222222223,,0.00176712394987244,0.06234458603121862
25.0,,,,0.0006666666666666666,,,,0.042666666666666665,0.001415740909477048,0.057125422738935505
26.0,,0.004333333333333333,,,,0.05444444444444444,,,0.0011349227686801022,0.052367731787898664
27.0,,,,0.00044444444444444447,,,,0.03333333333333333,0.0009103248881473514,0.04802735508537348
28.0,,,0.0017777777777777779,,,,0.050555555555555555,,0.0007305631342682251,0.04406485283893202
29.0,,,,0.0005555555555555556,,,,0.025111111111111112,0.0005865912152678288,0.040444922179472265
30.0,0.006666666666666667,0.003111111111111111,,0.0,0.03955555555555555,0.042444444444444444,,0.022,0.0004712121112164791,0.03713590017418078
31.0,,,,,,,,,0.00037869385764488506,0.03410933678049777
32.0,,,,0.0,,,,0.019555555555555555,,
34.0,,0.0032222222222222222,,,,0.03077777777777778,,,,
35.0,,,,0.0,,,,0.014666666666666666,,
36.0,,,0.0006666666666666666,,,,0.025111111111111112,,,
38.0,,0.0023333333333333335,,0.00011111111111111112,,0.026222222222222223,,0.010222222222222223,,
42.0,,0.0016666666666666668,,0.0,,0.01877777777777778,,0.005666666666666667,,
44.0,,,0.0003333333333333333,,,,0.01911111111111111,,,
45.0,0.003777777777777778,,,,0.021444444444444443,,,,,
50.0,,,,0.0,,,,0.002777777777777778,,
52.0,,,0.0003333333333333333,,,,0.008777777777777778,,,
60.0,0.0038888888888888888,0.0012222222222222222,0.0003333333333333333,0.0,0.012666666666666666,0.009777777777777778,0.006111111111111111,0.0012222222222222222,,
68.0,,,0.00044444444444444447,,,,0.0038888888888888888,,,
76.0,,,0.00011111111111111112,,,,0.0035555555555555557,,,
84.0,,,0.0005555555555555556,,,,0.0022222222222222222,,,
120.0,,,0.00011111111111111112,,,,0.0013333333333333333,,,
