,kls=results&ty=por&q=0.48&ds=2.0&daa=500&scale=0.2,kls=results&ty=por&q=0.48&ds=5.0&daa=500&scale=0.5,kls=results&ty=por&q=0.48&ds=10.0&daa=500&scale=1,kls=results&ty=por&q=0.48&ds=13.0&daa=500&scale=1.3,kls=results&ty=por&q=0.48&ds=16.0&daa=500&scale=1.6,kls=results&ty=por&q=0.48&ds=20.0&daa=500&scale=2.0,kls=analytical&ty=trad&q=0.48&ds=10.0&daa=0&scale=1
3.7,,,,,,,0.7315458155871949
3.8,,,,,,,0.7280609486262747
3.9,,,,,,,0.7246274375995154
3.9000000000000004,,,,0.3892307692307692,,,
4.0,,0.32461538461538464,0.3076923076923077,,,0.4676923076923077,0.7212433691315415
4.1,,,,,,,0.7179069483475967
4.2,,,,,,,0.7146164887943536
4.3,,,,,,,0.7113704034385142
4.4,,,,,,,0.7081671966055149
4.5,,,,,,,0.7050054567409717
4.6,,,,,,,0.7018838498944425
4.6000000000000005,0.3,,,,,,
4.7,,,,,,,0.6988011138392545
4.8,,,,,,,0.6957560527540685
4.800000000000001,,,,,0.39615384615384613,,
4.9,,,,,,,0.6927475324019048
5.0,,,0.29307692307692307,,,,0.6897744757508719
5.1,,,,,,,0.6868358589880845
5.2,,,,0.3346153846153846,,,0.683930707884431
5.3,,,,,,,0.6810580944731385
5.4,,,,,,,0.6782171340096232
5.5,,0.3030769230769231,,,,,0.6754069821840234
5.6,,,,,,,0.672626832561187
5.7,,,,,,,0.6698759142258136
5.8,,,,,,,0.6671534896129877
5.9,,,,,,,0.6644588525065547
6.0,,,0.27384615384615385,,,0.43,0.6617913261897215
6.1,,,,,,,0.6591502617339511
6.2,,,,,,,0.6565350364137087
6.3,,,,,,,0.653945052235912
6.4,0.26153846153846155,,,,0.3730769230769231,,0.6513797345740943
6.5,,,,0.3346153846153846,,,0.6488385308982977
6.6,,,,,,,0.6463209095926125
6.7,,,,,,,0.6438263588530739
6.8,,,,,,,0.6413543856593331
6.9,,,,,,,0.6389045148141483
7.0,,,0.26384615384615384,,,,0.6364762880452999
7.1,,,,,,,0.6340692631650391
7.2,,,,,,,0.6316830132826179
7.3,,,,,,,0.6293171260658601
7.4,,,,,,,0.6269712030480821
7.5,,,,,,,0.6246448589770037
7.6,,,,,,,0.6223377212025762
7.7,,,,,,,0.6200494291009168
7.8,,,,,,,0.6177796335317777
7.800000000000001,,,,0.31076923076923074,,,
7.9,,,,,,,0.6155279963271917
8.0,,0.26692307692307693,0.25076923076923074,,0.33,0.39076923076923076,0.6132941898091271
8.1,,,,,,,0.6110778963341641
8.2,,,,,,,0.6088788078633622
8.3,,,,,,,0.6066966255556336
8.4,,,,,,,0.6045310593830674
8.5,,,,,,,0.6023818277667743
8.6,,,,,,,0.6002486572319242
8.7,,,,,,,0.5981312820807556
8.8,,,,,,,0.5960294440824203
8.9,,,,,,,0.5939428921786183
9.0,,,,,,,0.5918713822040464
9.1,,,,0.2723076923076923,,,0.5898146766207596
9.2,,,,,,,0.5877725442656057
9.3,,,,,,,0.5857447601099559
9.4,,,,,,,0.5837311050310034
9.5,,,,,,,0.5817313655939584
9.6,,,,,,,0.579745333844507
9.600000000000001,,,,,0.30923076923076925,,
9.7,,,,,,,0.5777728071109518
9.8,,,,,,,0.5758135878154838
9.9,,,,,,,0.5738674832940751
10.0,,,,,,0.33692307692307694,0.5719343056245177
10.4,,,,0.26461538461538464,,,
10.5,,,,,,,0.5624560546048447
11.0,,,0.20615384615384616,,,,0.5532752450267192
11.200000000000001,,,,,0.3030769230769231,,
11.5,,0.23,,,,,0.5443728551095336
12.0,,,,,,0.33692307692307694,0.5357318582910916
12.5,,,,,,,0.5273369376182384
12.8,,,,,0.3,,
13.0,,,,,,,0.5191742509012167
13.5,,,,,,,0.511231235999835
14.0,,,,,,0.29923076923076924,0.5034964481475686
14.3,,,,0.22,,,
14.5,,,,,,,0.4959594230829354
15.0,,,,,,,0.48861056114237367
15.5,,,,,,,0.4814410285100317
16.0,,0.19615384615384615,0.15461538461538463,,,0.2907692307692308,0.4744426726110008
16.5,,,,,,,0.46760794924155036
17.0,,,,,,,0.46092985949999243
17.5,,,,,,,0.45440189494892
17.6,,,,,0.24076923076923076,,
18.0,,,,,,,0.44801798972857476
18.5,,,,,,,0.44177247857033175
19.0,,,,,,,0.43566005984238443
19.5,,,,,,,0.42967576290692977
20.0,,,,,,,0.423814919187263
20.8,,,,0.17692307692307693,,,
21.0,,,,,,,0.41244627580794746
22.0,,,,,,0.2569230769230769,
23.0,,,0.14923076923076922,,,,
25.6,,,,,0.19076923076923077,,
29.900000000000002,,,,0.15307692307692308,,,
32.0,,,0.11692307692307692,,,0.1776923076923077,
36.800000000000004,,,,,0.13538461538461538,,
41.6,,,,0.13,,,
46.0,,,,,,0.1346153846153846,
51.2,,,,,0.12384615384615384,,
